City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches(last 3hrs),Snow inches(last 3hrs),Current Description
0,Mahebourg,MU,1/5/2020 11:19,-20.41,57.7,81,83,75,8.05,0,0,broken clouds
1,Hobart,AU,1/5/2020 11:18,-42.88,147.33,60.8,55,20,11.41,0,0,few clouds
2,Yellowknife,CA,1/5/2020 11:15,62.45,-114.38,-2,84,90,13.87,0,0,light snow
3,Avarua,CK,1/5/2020 11:19,-21.21,-159.78,77,94,100,3.36,0,0,overcast clouds
4,Turukhansk,RU,1/5/2020 11:19,65.8,87.96,18.19,94,100,16.42,1.44,0,light snow
5,Juneau,US,1/5/2020 11:19,58.3,-134.42,27,85,75,4.7,0,0,broken clouds
6,Faya,SA,1/5/2020 11:19,18.39,42.45,68,59,40,14.99,0,0,scattered clouds
7,Mataura,NZ,1/5/2020 11:19,-46.19,168.86,50,77,64,11.01,0,0.31,light rain
8,Kavieng,PG,1/5/2020 11:19,-2.57,150.8,84.88,73,65,11.1,0,3.5,moderate rain
9,Ponta Do Sol,BR,1/5/2020 11:19,-20.63,-46,73.44,81,46,4.88,0,0,scattered clouds
10,Ushuaia,AR,1/5/2020 11:19,-54.81,-68.31,53.6,54,40,23.04,0,0,scattered clouds
11,Arraial Do Cabo,BR,1/5/2020 11:19,-22.97,-42.02,77,88,40,4.7,0,0,scattered clouds
12,Busselton,AU,1/5/2020 11:19,-33.64,115.35,77,13,32,14.41,0,0,scattered clouds
13,Vaini,IN,1/5/2020 11:19,15.34,74.49,82.4,42,40,6.93,0,0,scattered clouds
14,Fare,PF,1/5/2020 11:19,-16.7,-151.02,81.01,78,24,10.71,0,0,few clouds
15,Sterling,US,1/5/2020 11:19,39,-77.4,41,52,90,11.41,0,0,overcast clouds
16,Makakilo City,US,1/5/2020 11:14,21.35,-158.09,75.99,83,40,4.7,0,0,moderate rain
17,Saldanha,PT,1/5/2020 11:19,41.42,-6.55,46.56,60,0,5.44,0,0,clear sky
18,Bredasdorp,ZA,1/5/2020 11:19,-34.53,20.04,80.6,47,100,24.16,0,0,overcast clouds
19,Vagur,FO,1/5/2020 11:19,61.47,-6.81,46.29,82,50,25.81,0,0,scattered clouds
20,Srednekolymsk,RU,1/5/2020 11:19,67.46,153.71,-1.68,64,77,2.1,0,0,broken clouds
21,Bluff,AU,1/5/2020 11:19,-23.58,149.07,77.04,55,44,14.34,0,0,scattered clouds
22,Kaliua,TZ,1/5/2020 11:19,-5.06,31.79,84.24,57,90,1.68,0,3.12,moderate rain
23,Cidreira,BR,1/5/2020 11:19,-30.17,-50.22,72.64,80,4,12.84,0,0,clear sky
24,Sabaudia,IT,1/5/2020 11:19,41.3,13.03,60.01,66,0,9.17,0,0,clear sky
25,Kapaa,US,1/5/2020 11:19,22.08,-159.32,75.2,88,90,20.8,0,0,overcast clouds
26,Thompson,CA,1/5/2020 11:19,55.74,-97.86,6.8,84,90,5.82,0,0,light snow
27,Basco,US,1/5/2020 11:19,40.33,-91.2,36,86,1,9.17,0,0,clear sky
28,Atuona,PF,1/5/2020 11:19,-9.8,-139.03,79.92,71,3,5.37,0,0.31,light rain
29,New Norfolk,AU,1/5/2020 11:19,-42.78,147.06,60.8,55,20,11.41,0,0,few clouds
30,College,US,1/5/2020 11:19,64.86,-147.8,-18,73,1,2.24,0,0,clear sky
31,Narsaq,GL,1/5/2020 11:19,60.91,-46.05,24.8,68,83,5.82,0,0,broken clouds
32,Chapais,CA,1/5/2020 11:19,49.78,-74.86,5,84,90,8.05,0,0,light snow
33,Mabay,CU,1/5/2020 11:19,20.35,-76.78,68,100,41,3.36,0,0,fog
34,Rikitea,PF,1/5/2020 11:19,-23.12,-134.97,75.6,74,37,14.05,0,0,scattered clouds
35,Georgetown,GY,1/5/2020 11:16,6.8,-58.16,78.8,83,40,2.24,0,0,scattered clouds
36,Norsup,VU,1/5/2020 11:19,-16.07,167.38,81.19,79,8,14.63,0,0,clear sky
37,Hithadhoo,MV,1/5/2020 11:19,-0.6,73.08,84.79,69,67,8.77,0,2.94,light rain
38,Cupertino,US,1/5/2020 11:14,37.32,-122.03,50,93,20,6.93,0,0,light rain
39,Parczew,PL,1/5/2020 11:19,51.64,22.9,35.6,80,75,12.75,0,0,broken clouds
40,Port Elizabeth,US,1/5/2020 11:19,39.31,-74.98,41,55,90,17.22,0,0,overcast clouds
41,Chuy,UY,1/5/2020 11:19,-33.69,-53.46,73.22,66,0,6.89,0,0,clear sky
42,Cape Town,ZA,1/5/2020 11:15,-33.93,18.42,75.99,53,40,18.34,0,0,scattered clouds
43,Cabo San Lucas,MX,1/5/2020 11:17,22.89,-109.91,61,59,4,3,0,0,clear sky
44,Castro,CL,1/5/2020 11:19,-42.48,-73.76,50,100,90,6.93,0,0,overcast clouds
45,Sitka,US,1/5/2020 11:19,37.17,-99.65,44.01,53,28,18.99,0,0,scattered clouds
46,Seoul,KR,1/5/2020 11:16,37.57,126.98,37.4,31,88,3.36,0,0,overcast clouds
47,Inverell,AU,1/5/2020 11:19,-29.78,151.11,78.01,46,46,3,0,0,scattered clouds
48,Souillac,FR,1/5/2020 11:19,45.6,-0.6,45,86,0,5.82,0,0,clear sky
49,Katsuura,JP,1/5/2020 11:19,33.93,134.5,46.4,52,40,8.05,0,0,scattered clouds
50,Provideniya,RU,1/5/2020 11:19,64.42,-173.23,-9.36,98,94,8.14,0.13,0,light snow
51,Craig,US,1/5/2020 11:19,40.52,-107.55,19.4,77,1,3.36,0,0,clear sky
52,Chivay,PE,1/5/2020 11:19,-15.64,-71.6,40.53,74,100,6.35,0,0,overcast clouds
53,Pelym,RU,1/5/2020 11:19,61.01,62,23.29,87,100,6.98,0,0,overcast clouds
54,Presidencia Roque Saenz Pena,AR,1/5/2020 11:19,-26.79,-60.44,83.53,34,17,4.45,0,0,few clouds
