City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches(last 3hrs),Snow inches(last 3hrs),Current Description
0,0,Mahebourg,MU,2020-01-05 11:19:04,-20.41,57.7,81.0,83,75,8.05,0.0,0.0,broken clouds
1,1,Hobart,AU,2020-01-05 11:18:10,-42.88,147.33,60.8,55,20,11.41,0.0,0.0,few clouds
2,2,Yellowknife,CA,2020-01-05 11:15:11,62.45,-114.38,-2.0,84,90,13.87,0.0,0.0,light snow
3,3,Avarua,CK,2020-01-05 11:19:05,-21.21,-159.78,77.0,94,100,3.36,0.0,0.0,overcast clouds
4,4,Turukhansk,RU,2020-01-05 11:19:06,65.8,87.96,18.19,94,100,16.42,1.44,0.0,light snow
5,5,Juneau,US,2020-01-05 11:19:06,58.3,-134.42,27.0,85,75,4.7,0.0,0.0,broken clouds
6,6,Faya,SA,2020-01-05 11:19:06,18.39,42.45,68.0,59,40,14.99,0.0,0.0,scattered clouds
7,7,Mataura,NZ,2020-01-05 11:19:06,-46.19,168.86,50.0,77,64,11.01,0.0,0.31,light rain
8,8,Kavieng,PG,2020-01-05 11:19:07,-2.57,150.8,84.88,73,65,11.1,0.0,3.5,moderate rain
9,9,Ponta Do Sol,BR,2020-01-05 11:19:07,-20.63,-46.0,73.44,81,46,4.88,0.0,0.0,scattered clouds
10,10,Ushuaia,AR,2020-01-05 11:19:08,-54.81,-68.31,53.6,54,40,23.04,0.0,0.0,scattered clouds
11,11,Arraial Do Cabo,BR,2020-01-05 11:19:08,-22.97,-42.02,77.0,88,40,4.7,0.0,0.0,scattered clouds
12,12,Busselton,AU,2020-01-05 11:19:08,-33.64,115.35,77.0,13,32,14.41,0.0,0.0,scattered clouds
13,13,Vaini,IN,2020-01-05 11:19:08,15.34,74.49,82.4,42,40,6.93,0.0,0.0,scattered clouds
14,14,Fare,PF,2020-01-05 11:19:09,-16.7,-151.02,81.01,78,24,10.71,0.0,0.0,few clouds
15,15,Sterling,US,2020-01-05 11:19:09,39.0,-77.4,41.0,52,90,11.41,0.0,0.0,overcast clouds
16,16,Makakilo City,US,2020-01-05 11:14:21,21.35,-158.09,75.99,83,40,4.7,0.0,0.0,moderate rain
17,17,Saldanha,PT,2020-01-05 11:19:09,41.42,-6.55,46.56,60,0,5.44,0.0,0.0,clear sky
18,18,Bredasdorp,ZA,2020-01-05 11:19:10,-34.53,20.04,80.6,47,100,24.16,0.0,0.0,overcast clouds
19,19,Vagur,FO,2020-01-05 11:19:10,61.47,-6.81,46.29,82,50,25.81,0.0,0.0,scattered clouds
20,20,Srednekolymsk,RU,2020-01-05 11:19:10,67.46,153.71,-1.68,64,77,2.1,0.0,0.0,broken clouds
21,21,Bluff,AU,2020-01-05 11:19:10,-23.58,149.07,77.04,55,44,14.34,0.0,0.0,scattered clouds
22,22,Kaliua,TZ,2020-01-05 11:19:11,-5.06,31.79,84.24,57,90,1.68,0.0,3.12,moderate rain
23,23,Cidreira,BR,2020-01-05 11:19:11,-30.17,-50.22,72.64,80,4,12.84,0.0,0.0,clear sky
24,24,Sabaudia,IT,2020-01-05 11:19:11,41.3,13.03,60.01,66,0,9.17,0.0,0.0,clear sky
25,25,Kapaa,US,2020-01-05 11:19:11,22.08,-159.32,75.2,88,90,20.8,0.0,0.0,overcast clouds
26,26,Thompson,CA,2020-01-05 11:19:12,55.74,-97.86,6.8,84,90,5.82,0.0,0.0,light snow
27,27,Basco,US,2020-01-05 11:19:12,40.33,-91.2,36.0,86,1,9.17,0.0,0.0,clear sky
28,28,Atuona,PF,2020-01-05 11:19:12,-9.8,-139.03,79.92,71,3,5.37,0.0,0.31,light rain
29,29,New Norfolk,AU,2020-01-05 11:19:12,-42.78,147.06,60.8,55,20,11.41,0.0,0.0,few clouds
