City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Geraldton,CA,2020-01-04 22:55:03,49.72,-86.95,15.8,78,90,10.29
1,Rijssen,NL,2020-01-04 22:55:03,52.31,6.52,46.0,100,90,2.24
2,Sao Filipe,CV,2020-01-04 22:52:21,14.9,-24.5,70.2,76,20,14.07
3,Huilong,CN,2020-01-04 22:55:03,31.15,106.5,47.34,85,100,1.99
4,Rikitea,PF,2020-01-04 22:54:05,-23.12,-134.97,77.09,75,71,16.78
5,Ushuaia,AR,2020-01-04 22:54:03,-54.81,-68.31,57.2,84,40,8.05
6,Bredasdorp,ZA,2020-01-04 22:55:04,-34.53,20.04,64.4,72,55,4.7
7,Kapaa,US,2020-01-04 22:55:05,22.08,-159.32,80.6,78,90,23.04
8,Saskylakh,RU,2020-01-04 22:55:05,71.97,114.09,-20.27,96,49,6.51
9,Arcachon,FR,2020-01-04 22:55:05,44.65,-1.18,37.4,100,15,3.36
10,Broome,GB,2020-01-04 22:54:40,52.47,1.45,45.0,87,70,6.93
11,Severo-Kurilsk,RU,2020-01-04 22:55:06,50.68,156.12,19.08,80,100,5.93
12,Brae,GB,2020-01-04 22:55:06,60.4,-1.35,46.4,93,100,24.16
13,Alihe,CN,2020-01-04 22:55:06,50.57,123.73,0.09,91,50,3.91
14,Guozhen,CN,2020-01-04 22:55:06,29.3,113.14,46.0,84,97,2.46
15,Ancud,CL,2020-01-04 22:54:11,-41.87,-73.83,60.8,55,12,8.05
16,Morondava,MG,2020-01-04 22:52:45,-20.3,44.28,76.26,85,0,2.64
17,Zaritap,AM,2020-01-04 22:55:07,39.64,45.51,33.8,86,75,4.7
18,Sur,OM,2020-01-04 22:55:08,22.57,59.53,68.13,71,0,9.98
19,Hasaki,JP,2020-01-04 22:55:08,35.73,140.83,32.0,62,20,23.29
20,Hamilton,CA,2020-01-04 22:50:30,43.26,-79.87,37.0,74,90,9.17
21,Qaanaaq,GL,2020-01-04 22:52:20,77.48,-69.36,-40.36,56,0,6.46
22,Kangaatsiaq,GL,2020-01-04 22:55:09,68.31,-53.46,15.37,83,100,23.49
23,Mataura,NZ,2020-01-04 22:55:09,-46.19,168.86,55.99,74,99,24.0
24,Sibolga,ID,2020-01-04 22:55:09,1.74,98.78,71.56,95,90,3.74
25,Necochea,AR,2020-01-04 22:55:10,-38.55,-58.74,71.26,66,30,6.2
26,Majene,ID,2020-01-04 22:55:10,-3.54,118.97,79.93,76,100,4.45
27,Yellowknife,CA,2020-01-04 22:55:10,62.45,-114.38,3.2,84,90,12.75
28,Puerto Ayora,EC,2020-01-04 22:52:59,-0.74,-90.35,84.2,58,20,14.99
29,Planadas,CO,2020-01-04 22:55:11,3.2,-75.65,93.2,38,20,3.36
30,Saint-Philippe,CA,2020-01-04 22:52:08,45.36,-73.48,30.99,86,90,9.17
31,Castro,CL,2020-01-04 22:54:08,-42.48,-73.76,60.8,55,1,8.05
32,Port Elizabeth,US,2020-01-04 22:52:40,39.31,-74.98,55.0,100,90,3.36
33,Mujiayingzi,CN,2020-01-04 22:55:12,42.12,118.78,18.37,56,0,2.77
34,New Norfolk,AU,2020-01-04 22:54:13,-42.78,147.06,61.0,38,75,10.29
35,Tasiilaq,GL,2020-01-04 22:52:28,65.61,-37.64,26.6,92,100,4.99
36,Wahiawa,US,2020-01-04 22:55:13,21.5,-158.02,80.6,94,90,16.11
37,Chuy,UY,2020-01-04 22:55:13,-33.69,-53.46,68.31,79,7,11.7
38,Taoudenni,ML,2020-01-04 22:53:21,22.68,-3.98,55.87,25,0,9.57
39,Macomer,IT,2020-01-04 22:55:14,40.26,8.77,48.2,93,40,1.12
40,Thompson,CA,2020-01-04 22:55:14,55.74,-97.86,1.4,84,90,3.36
41,Jamestown,AU,2020-01-04 22:55:15,-33.21,138.6,52.99,55,100,17.29
42,Kropotkin,RU,2020-01-04 22:55:15,45.43,40.58,33.01,69,22,2.89
43,Bethel,US,2020-01-04 22:50:48,60.79,-161.76,-9.4,76,1,8.05
44,Cape Town,ZA,2020-01-04 22:53:46,-33.93,18.42,68.0,82,20,3.36
45,Busselton,AU,2020-01-04 22:55:16,-33.64,115.35,69.01,35,0,6.55
46,Pavlovsk,RU,2020-01-04 22:55:16,53.31,82.99,24.8,85,75,13.42
47,Seoul,KR,2020-01-04 22:55:17,37.57,126.98,24.8,92,1,2.24
48,Tuni,BO,2020-01-04 22:55:17,-16.67,-68.14,51.8,66,75,9.17
49,Quatre Cocos,MU,2020-01-04 22:55:04,-20.21,57.76,78.01,94,75,14.99
50,Codrington,AU,2020-01-04 22:55:17,-28.95,153.24,82.99,57,0,2.24
51,Ostrovnoy,RU,2020-01-04 22:55:18,68.05,39.51,21.9,91,100,20.07
52,Port Alfred,ZA,2020-01-04 22:55:18,-33.59,26.89,71.01,99,88,3.0
53,Hermanus,ZA,2020-01-04 22:52:15,-34.42,19.24,64.0,92,8,15.55
54,Talnakh,RU,2020-01-04 22:54:13,69.49,88.39,1.4,77,100,22.37
55,Georgetown,GY,2020-01-04 22:52:48,6.8,-58.16,82.4,74,20,6.93
56,Manga,PK,2020-01-04 22:55:20,31.31,74.05,48.2,81,20,5.73
